Age,Age Group,city,customer_code,dob,Estimated Settlement Amount,Final Premium Amount,Sum of Settlement %
20,18-24,Chennai,SUN07Q,2005-01-07 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUN158,2005-01-02 00:00:00,$45334,33285,0.362
20,18-24,Chennai,SUN1Z98,2005-03-19 00:00:00,$10215,7500,0.362
20,18-24,Chennai,SUN397I,2005-10-22 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUN3NP,2005-04-16 00:00:00,$59043,43350,0.362
20,18-24,Chennai,SUN427,2005-10-16 00:00:00,$23883,17535,0.362
20,18-24,Chennai,SUN80YU,2005-06-13 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNBA3,2005-09-03 00:00:00,$16671,12240,0.362
20,18-24,Chennai,SUNC55J,2005-08-30 00:00:00,$60779,44625,0.362
20,18-24,Chennai,SUNCZ6,2005-08-20 00:00:00,$16671,12240,0.362
20,18-24,Chennai,SUND60,2005-02-27 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNES8P,2005-04-12 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUNHKWY,2005-03-25 00:00:00,$7151,5250,0.362
20,18-24,Chennai,SUNK2,2005-02-19 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNLGI,2005-08-16 00:00:00,$17161,12600,0.362
20,18-24,Chennai,SUNLWW,2005-08-25 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUNNGK,2005-05-16 00:00:00,$7151,5250,0.362
20,18-24,Chennai,SUNNNT8,2005-04-04 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUNO0P,2005-07-18 00:00:00,$7151,5250,0.362
20,18-24,Chennai,SUNPD8W,2005-05-11 00:00:00,$7014,5150,0.362
20,18-24,Chennai,SUNQ4G,2005-03-08 00:00:00,$6810,5000,0.362
20,18-24,Chennai,SUNQPK,2005-05-04 00:00:00,$7151,5250,0.362
20,18-24,Chennai,SUNR8F0,2005-06-06 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNRV8,2005-07-13 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUNSSA,2005-08-20 00:00:00,$10726,7875,0.362
20,18-24,Chennai,SUNSV49,2005-08-07 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNT3F,2005-08-27 00:00:00,$10726,7875,0.362
20,18-24,Chennai,SUNT874,2005-01-01 00:00:00,$109403,80325,0.362
20,18-24,Chennai,SUNWU69,2005-07-14 00:00:00,$10215,7500,0.362
20,18-24,Chennai,SUNXCN,2005-02-01 00:00:00,$6946,5100,0.362
20,18-24,Chennai,SUNXY,2005-07-08 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNYB,2005-02-11 00:00:00,$23200,17034,0.362
20,18-24,Chennai,SUNYETT,2005-01-03 00:00:00,$10521,7725,0.362
20,18-24,Chennai,SUNYUCI,2005-02-08 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNZR40,2005-04-22 00:00:00,$10419,7650,0.362
20,18-24,Chennai,SUNZT0,2005-08-31 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUN0BHA,2005-07-07 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUN0PTI,2005-03-20 00:00:00,$10726,7875,0.362
20,18-24,Delhi NCR,SUN1CJ3,2005-10-03 00:00:00,$17161,12600,0.362
20,18-24,Delhi NCR,SUN2632,2005-10-19 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUN2J9J,2005-06-04 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUN2TY,2005-10-19 00:00:00,$10419,7650,0.362
20,18-24,Delhi NCR,SUN2WY4,2005-01-25 00:00:00,$6810,5000,0.362
20,18-24,Delhi NCR,SUN320,2005-01-10 00:00:00,$7151,5250,0.362
20,18-24,Delhi NCR,SUN36T,2005-10-24 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN3FI,2005-07-23 00:00:00,$30161,22145,0.362
20,18-24,Delhi NCR,SUN3G8,2005-04-02 00:00:00,$6946,5100,0.362
20,18-24,Delhi NCR,SUN3T3N,2005-02-18 00:00:00,$7014,5150,0.362
