customer_code,date,final_premium_amt(INR),policy_id,sales_mode
SUN003,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN03X,2022-11-24 00:00:00,5000,POL4321HEL,Offline-Direct
SUN04HP,2022-11-17 00:00:00,5000,POL4321HEL,Offline-Agent
SUN05H,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUN0T,2022-11-18 00:00:00,5000,POL4321HEL,Offline-Direct
SUN0XJ,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Direct
SUN0ZE,2022-11-26 00:00:00,5000,POL4321HEL,Offline-Agent
SUN14D1,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Direct
SUN1C8M,2022-11-27 00:00:00,5000,POL4321HEL,Online-App
SUN1TW,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUN1Y7F,2022-11-23 00:00:00,5000,POL4321HEL,Offline-Agent
SUN241U,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Direct
SUN28EX,2022-11-02 00:00:00,5000,POL4321HEL,Offline-Agent
SUN2TVQ,2022-11-09 00:00:00,5000,POL4321HEL,Offline-Direct
SUN2V08,2022-11-01 00:00:00,5000,POL4321HEL,Offline-Agent
SUN2WY4,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN3AS,2022-11-25 00:00:00,5000,POL4321HEL,Offline-Agent
SUN3ESB,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Direct
SUN3JJ,2022-11-22 00:00:00,5000,POL4321HEL,Offline-Agent
SUN3T8,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUN48F6,2022-11-22 00:00:00,5000,POL4321HEL,Offline-Agent
SUN4AS7,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Agent
SUN4LHO,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Direct
SUN4MR,2022-11-27 00:00:00,5000,POL4321HEL,Offline-Agent
SUN4PEU,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Agent
SUN4SE4,2022-11-23 00:00:00,5000,POL4321HEL,Offline-Agent
SUN4YFU,2022-11-18 00:00:00,5000,POL4321HEL,Offline-Agent
SUN537,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5BGV,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5CC,2022-11-03 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5FU,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5GPJ,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Direct
SUN5HV5,2022-11-25 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5MIK,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5SZW,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Agent
SUN5TZ,2022-11-26 00:00:00,5000,POL4321HEL,Offline-Agent
SUN64UJ,2022-11-22 00:00:00,5000,POL4321HEL,Offline-Agent
SUN6RB,2022-11-11 00:00:00,5000,POL4321HEL,Offline-Agent
SUN6ZUX,2022-11-23 00:00:00,5000,POL4321HEL,Online-App
SUN705,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Agent
SUN7C8,2022-11-06 00:00:00,5000,POL4321HEL,Offline-Direct
SUN7E62,2022-11-24 00:00:00,5000,POL4321HEL,Offline-Agent
SUN7MFW,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Agent
SUN7V2S,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN85MD,2022-11-15 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8CZX,2022-11-27 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8DE1,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8EX1,2022-11-03 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8FFJ,2022-11-06 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8II0,2022-11-25 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8M9U,2022-11-21 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8O2,2022-11-26 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8P5,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8UGZ,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8UZJ,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8V7,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUN8WSU,2022-11-26 00:00:00,5000,POL4321HEL,Offline-Direct
SUN8ZA3,2022-11-21 00:00:00,5000,POL4321HEL,Offline-Agent
SUN9I,2022-11-25 00:00:00,5000,POL4321HEL,Offline-Direct
SUN9RT,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUN9SGW,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Agent
SUNA14,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Direct
SUNA60,2022-11-29 00:00:00,5000,POL4321HEL,Offline-Agent
SUNAIIE,2022-11-14 00:00:00,5000,POL4321HEL,Offline-Agent
SUNAOB,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUNAXY,2022-11-29 00:00:00,5000,POL4321HEL,Offline-Agent
SUNB3VI,2022-11-28 00:00:00,5000,POL4321HEL,Offline-Direct
SUNBB8,2022-11-15 00:00:00,5000,POL4321HEL,Offline-Direct
SUNBE8,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUNBI2,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUNBLXD,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Agent
SUNBUWA,2022-11-14 00:00:00,5000,POL4321HEL,Online-App
SUNC2P,2022-11-29 00:00:00,5000,POL4321HEL,Offline-Direct
SUNC73,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Direct
SUNC8S,2022-11-15 00:00:00,5000,POL4321HEL,Offline-Agent
SUNCIJV,2022-11-28 00:00:00,5000,POL4321HEL,Online-Website
SUNCT6,2022-11-28 00:00:00,5000,POL4321HEL,Offline-Agent
SUNCX,2022-11-17 00:00:00,5000,POL4321HEL,Offline-Agent
SUND1BI,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Direct
SUND5U,2022-11-27 00:00:00,5000,POL4321HEL,Offline-Agent
SUNDFJ,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Agent
SUNDGHP,2022-11-01 00:00:00,5000,POL4321HEL,Online-App
SUNDJMX,2022-11-30 00:00:00,5000,POL4321HEL,Offline-Agent
SUNDL8,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Direct
SUNDLP,2022-11-26 00:00:00,5000,POL4321HEL,Offline-Direct
SUNDN33,2022-11-27 00:00:00,5000,POL4321HEL,Offline-Direct
SUNDWXG,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUNDY8K,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUNEMD,2022-11-07 00:00:00,5000,POL4321HEL,Offline-Agent
SUNF0ZO,2022-11-20 00:00:00,5000,POL4321HEL,Online-App
SUNF1C8,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Direct
SUNF1L9,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Direct
SUNF3XL,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Agent
SUNF70P,2022-11-28 00:00:00,5000,POL4321HEL,Offline-Direct
SUNF8RL,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Direct
SUNFW0G,2022-11-27 00:00:00,5000,POL4321HEL,Offline-Agent
SUNG6SL,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Direct
SUNG7V,2022-11-14 00:00:00,5000,POL4321HEL,Offline-Agent
SUNHBUG,2022-11-19 00:00:00,5000,POL4321HEL,Offline-Agent
SUNHR51,2022-11-27 00:00:00,5000,POL4321HEL,Offline-Agent
SUNHYYQ,2022-11-04 00:00:00,5000,POL4321HEL,Offline-Agent
SUNI2NP,2022-11-09 00:00:00,5000,POL4321HEL,Offline-Direct
SUNI61U,2022-11-24 00:00:00,5000,POL4321HEL,Offline-Agent
SUNJDN,2022-11-18 00:00:00,5000,POL4321HEL,Offline-Direct
SUNJI3,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUNKBKQ,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Direct
SUNKCW4,2022-11-18 00:00:00,5000,POL4321HEL,Offline-Agent
SUNKKK,2022-11-23 00:00:00,5000,POL4321HEL,Offline-Agent
SUNKKW,2022-11-30 00:00:00,5000,POL4321HEL,Offline-Agent
SUNKUX,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Direct
SUNKVV,2022-11-10 00:00:00,5000,POL4321HEL,Offline-Agent
SUNKX48,2022-11-17 00:00:00,5000,POL4321HEL,Online-App
SUNL1M,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUNLCL,2022-11-25 00:00:00,5000,POL4321HEL,Offline-Agent
SUNLLQZ,2022-11-21 00:00:00,5000,POL4321HEL,Online-App
SUNM26K,2022-11-03 00:00:00,5000,POL4321HEL,Offline-Direct
SUNM4H,2022-11-09 00:00:00,5000,POL4321HEL,Offline-Agent
SUNM526,2022-11-11 00:00:00,5000,POL4321HEL,Offline-Agent
SUNMH4C,2022-11-26 00:00:00,5000,POL4321HEL,Offline-Agent
SUNMI4,2022-11-16 00:00:00,5000,POL4321HEL,Offline-Direct
SUNMIF,2022-11-29 00:00:00,5000,POL4321HEL,Offline-Agent
SUNMMA,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUNMRTL,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Agent
SUNMT0Y,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Agent
SUNN011,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUNN18F,2022-11-25 00:00:00,5000,POL4321HEL,Offline-Agent
SUNNCTV,2022-11-14 00:00:00,5000,POL4321HEL,Online-Website
SUNNKND,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Agent
SUNNN,2022-11-14 00:00:00,5000,POL4321HEL,Offline-Agent
SUNNOPW,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUNNP2,2022-11-16 00:00:00,5000,POL4321HEL,Offline-Agent
SUNNUBJ,2022-11-15 00:00:00,5000,POL4321HEL,Offline-Agent
SUNO1O,2022-11-30 00:00:00,5000,POL4321HEL,Offline-Direct
SUNO48Y,2022-11-02 00:00:00,5000,POL4321HEL,Offline-Agent
SUNO7W,2022-11-13 00:00:00,5000,POL4321HEL,Online-Website
SUNO8C,2022-11-29 00:00:00,5000,POL4321HEL,Offline-Direct
SUNO8C1,2022-11-01 00:00:00,5000,POL4321HEL,Offline-Agent
SUNOFS,2022-11-06 00:00:00,5000,POL4321HEL,Offline-Direct
SUNP2OA,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUNP5KY,2022-11-11 00:00:00,5000,POL4321HEL,Offline-Agent
SUNPSPV,2022-11-23 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQ3N,2022-11-24 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQ4G,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Direct
SUNQA05,2022-11-18 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQCLZ,2022-11-29 00:00:00,5000,POL4321HEL,Online-Website
SUNQF3E,2022-11-29 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQM6,2022-11-10 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQN9S,2022-11-06 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQP23,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUNQRI,2022-11-06 00:00:00,5000,POL4321HEL,Online-App
SUNRDK,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Direct
SUNRRJ,2022-11-05 00:00:00,5000,POL4321HEL,Offline-Agent
SUNRUD9,2022-11-17 00:00:00,5000,POL4321HEL,Offline-Agent
SUNS1,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Direct
SUNS2TY,2022-11-12 00:00:00,5000,POL4321HEL,Offline-Agent
